label,payload,fec,symbol_duration,repeats,inter_frame_silence,payload_bytes,coded_bits,overhead_fraction,coding_expansion,airtime_s_if_success,ideal_goodput_bps_if_success,raw_symbol_rate_bps
short_text,HELLO,none,0.25,1,0.0,5,104,0.6153846153846154,1.0,26.0,1.5384615384615385,4.0
short_text,HELLO,none,0.25,2,0.25,5,104,0.6153846153846154,1.0,52.25,0.7655502392344498,4.0
short_text,HELLO,none,0.12,1,0.0,5,104,0.6153846153846154,1.0,12.48,3.205128205128205,8.333333333333334
short_text,HELLO,none,0.12,2,0.25,5,104,0.6153846153846154,1.0,25.21,1.5866719555731852,8.333333333333334
short_text,HELLO,none,0.07,1,0.0,5,104,0.6153846153846154,1.0,7.280000000000001,5.494505494505494,14.285714285714285
short_text,HELLO,none,0.07,2,0.25,5,104,0.6153846153846154,1.0,14.810000000000002,2.7008777852802157,14.285714285714285
short_text,HELLO,none,0.04,1,0.0,5,104,0.6153846153846154,1.0,4.16,9.615384615384615,25.0
short_text,HELLO,none,0.04,2,0.25,5,104,0.6153846153846154,1.0,8.57,4.667444574095683,25.0
short_text,HELLO,hamming74,0.25,1,0.0,5,165,0.7575757575757576,1.5865384615384615,41.25,0.9696969696969697,4.0
short_text,HELLO,hamming74,0.25,2,0.25,5,165,0.7575757575757576,1.5865384615384615,82.75,0.48338368580060426,4.0
short_text,HELLO,hamming74,0.12,1,0.0,5,165,0.7575757575757576,1.5865384615384615,19.8,2.0202020202020203,8.333333333333334
short_text,HELLO,hamming74,0.12,2,0.25,5,165,0.7575757575757576,1.5865384615384615,39.85,1.0037641154328731,8.333333333333334
short_text,HELLO,hamming74,0.07,1,0.0,5,165,0.7575757575757576,1.5865384615384615,11.55,3.463203463203463,14.285714285714285
short_text,HELLO,hamming74,0.07,2,0.25,5,165,0.7575757575757576,1.5865384615384615,23.35,1.7130620985010705,14.285714285714285
short_text,HELLO,hamming74,0.04,1,0.0,5,165,0.7575757575757576,1.5865384615384615,6.6000000000000005,6.0606060606060606,25.0
short_text,HELLO,hamming74,0.04,2,0.25,5,165,0.7575757575757576,1.5865384615384615,13.450000000000001,2.973977695167286,25.0
email_like,user@domain.tld,none,0.25,1,0.0,15,184,0.34782608695652173,1.0,46.0,2.608695652173913,4.0
email_like,user@domain.tld,none,0.25,2,0.25,15,184,0.34782608695652173,1.0,92.25,1.3008130081300813,4.0
email_like,user@domain.tld,none,0.12,1,0.0,15,184,0.34782608695652173,1.0,22.08,5.434782608695652,8.333333333333334
email_like,user@domain.tld,none,0.12,2,0.25,15,184,0.34782608695652173,1.0,44.41,2.7020941229452826,8.333333333333334
email_like,user@domain.tld,none,0.07,1,0.0,15,184,0.34782608695652173,1.0,12.88,9.316770186335404,14.285714285714285
email_like,user@domain.tld,none,0.07,2,0.25,15,184,0.34782608695652173,1.0,26.01,4.613610149942329,14.285714285714285
email_like,user@domain.tld,none,0.04,1,0.0,15,184,0.34782608695652173,1.0,7.36,16.304347826086957,25.0
email_like,user@domain.tld,none,0.04,2,0.25,15,184,0.34782608695652173,1.0,14.97,8.016032064128256,25.0
email_like,user@domain.tld,hamming74,0.25,1,0.0,15,305,0.6065573770491803,1.6576086956521738,76.25,1.5737704918032787,4.0
email_like,user@domain.tld,hamming74,0.25,2,0.25,15,305,0.6065573770491803,1.6576086956521738,152.75,0.7855973813420621,4.0
email_like,user@domain.tld,hamming74,0.12,1,0.0,15,305,0.6065573770491803,1.6576086956521738,36.6,3.278688524590164,8.333333333333334
email_like,user@domain.tld,hamming74,0.12,2,0.25,15,305,0.6065573770491803,1.6576086956521738,73.45,1.6337644656228727,8.333333333333334
email_like,user@domain.tld,hamming74,0.07,1,0.0,15,305,0.6065573770491803,1.6576086956521738,21.35,5.620608899297424,14.285714285714285
email_like,user@domain.tld,hamming74,0.07,2,0.25,15,305,0.6065573770491803,1.6576086956521738,42.95,2.7939464493597206,14.285714285714285
email_like,user@domain.tld,hamming74,0.04,1,0.0,15,305,0.6065573770491803,1.6576086956521738,12.200000000000001,9.83606557377049,25.0
email_like,user@domain.tld,hamming74,0.04,2,0.25,15,305,0.6065573770491803,1.6576086956521738,24.650000000000002,4.86815415821501,25.0
json_like,"{""k"":1,""v"":2}",none,0.25,1,0.0,13,168,0.38095238095238093,1.0,42.0,2.4761904761904763,4.0
json_like,"{""k"":1,""v"":2}",none,0.25,2,0.25,13,168,0.38095238095238093,1.0,84.25,1.2344213649851632,4.0
json_like,"{""k"":1,""v"":2}",none,0.12,1,0.0,13,168,0.38095238095238093,1.0,20.16,5.158730158730159,8.333333333333334
json_like,"{""k"":1,""v"":2}",none,0.12,2,0.25,13,168,0.38095238095238093,1.0,40.57,2.563470544737491,8.333333333333334
json_like,"{""k"":1,""v"":2}",none,0.07,1,0.0,13,168,0.38095238095238093,1.0,11.760000000000002,8.843537414965985,14.285714285714285
json_like,"{""k"":1,""v"":2}",none,0.07,2,0.25,13,168,0.38095238095238093,1.0,23.770000000000003,4.375262936474547,14.285714285714285
json_like,"{""k"":1,""v"":2}",none,0.04,1,0.0,13,168,0.38095238095238093,1.0,6.72,15.476190476190476,25.0
json_like,"{""k"":1,""v"":2}",none,0.04,2,0.25,13,168,0.38095238095238093,1.0,13.69,7.596785975164353,25.0
json_like,"{""k"":1,""v"":2}",hamming74,0.25,1,0.0,13,277,0.6245487364620939,1.6488095238095237,69.25,1.5018050541516246,4.0
json_like,"{""k"":1,""v"":2}",hamming74,0.25,2,0.25,13,277,0.6245487364620939,1.6488095238095237,138.75,0.7495495495495496,4.0
json_like,"{""k"":1,""v"":2}",hamming74,0.12,1,0.0,13,277,0.6245487364620939,1.6488095238095237,33.24,3.128760529482551,8.333333333333334
json_like,"{""k"":1,""v"":2}",hamming74,0.12,2,0.25,13,277,0.6245487364620939,1.6488095238095237,66.73,1.5585194065637644,8.333333333333334
json_like,"{""k"":1,""v"":2}",hamming74,0.07,1,0.0,13,277,0.6245487364620939,1.6488095238095237,19.39,5.363589479112945,14.285714285714285
json_like,"{""k"":1,""v"":2}",hamming74,0.07,2,0.25,13,277,0.6245487364620939,1.6488095238095237,39.03,2.664616961311811,14.285714285714285
json_like,"{""k"":1,""v"":2}",hamming74,0.04,1,0.0,13,277,0.6245487364620939,1.6488095238095237,11.08,9.386281588447654,25.0
json_like,"{""k"":1,""v"":2}",hamming74,0.04,2,0.25,13,277,0.6245487364620939,1.6488095238095237,22.41,4.64078536367693,25.0
repetitive,AAAAAAAABBBBBBBB,none,0.25,1,0.0,16,192,0.3333333333333333,1.0,48.0,2.6666666666666665,4.0
repetitive,AAAAAAAABBBBBBBB,none,0.25,2,0.25,16,192,0.3333333333333333,1.0,96.25,1.3298701298701299,4.0
repetitive,AAAAAAAABBBBBBBB,none,0.12,1,0.0,16,192,0.3333333333333333,1.0,23.04,5.555555555555555,8.333333333333334
repetitive,AAAAAAAABBBBBBBB,none,0.12,2,0.25,16,192,0.3333333333333333,1.0,46.33,2.762788689833801,8.333333333333334
repetitive,AAAAAAAABBBBBBBB,none,0.07,1,0.0,16,192,0.3333333333333333,1.0,13.440000000000001,9.523809523809524,14.285714285714285
repetitive,AAAAAAAABBBBBBBB,none,0.07,2,0.25,16,192,0.3333333333333333,1.0,27.130000000000003,4.718024327312937,14.285714285714285
repetitive,AAAAAAAABBBBBBBB,none,0.04,1,0.0,16,192,0.3333333333333333,1.0,7.68,16.666666666666668,25.0
repetitive,AAAAAAAABBBBBBBB,none,0.04,2,0.25,16,192,0.3333333333333333,1.0,15.61,8.199871877001922,25.0
repetitive,AAAAAAAABBBBBBBB,hamming74,0.25,1,0.0,16,319,0.5987460815047022,1.6614583333333333,79.75,1.6050156739811912,4.0
repetitive,AAAAAAAABBBBBBBB,hamming74,0.25,2,0.25,16,319,0.5987460815047022,1.6614583333333333,159.75,0.8012519561815337,4.0
repetitive,AAAAAAAABBBBBBBB,hamming74,0.12,1,0.0,16,319,0.5987460815047022,1.6614583333333333,38.28,3.3437826541274815,8.333333333333334
repetitive,AAAAAAAABBBBBBBB,hamming74,0.12,2,0.25,16,319,0.5987460815047022,1.6614583333333333,76.81,1.6664496810311158,8.333333333333334
repetitive,AAAAAAAABBBBBBBB,hamming74,0.07,1,0.0,16,319,0.5987460815047022,1.6614583333333333,22.330000000000002,5.732198835647111,14.285714285714285
repetitive,AAAAAAAABBBBBBBB,hamming74,0.07,2,0.25,16,319,0.5987460815047022,1.6614583333333333,44.910000000000004,2.850144733912269,14.285714285714285
repetitive,AAAAAAAABBBBBBBB,hamming74,0.04,1,0.0,16,319,0.5987460815047022,1.6614583333333333,12.76,10.031347962382446,25.0
repetitive,AAAAAAAABBBBBBBB,hamming74,0.04,2,0.25,16,319,0.5987460815047022,1.6614583333333333,25.77,4.967015909972837,25.0
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,none,0.25,1,0.0,32,320,0.2,1.0,80.0,3.2,4.0
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,none,0.25,2,0.25,32,320,0.2,1.0,160.25,1.5975039001560063,4.0
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,none,0.12,1,0.0,32,320,0.2,1.0,38.4,6.666666666666667,8.333333333333334
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,none,0.12,2,0.25,32,320,0.2,1.0,77.05,3.3225178455548345,8.333333333333334
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,none,0.07,1,0.0,32,320,0.2,1.0,22.400000000000002,11.428571428571427,14.285714285714285
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,none,0.07,2,0.25,32,320,0.2,1.0,45.050000000000004,5.682574916759156,14.285714285714285
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,none,0.04,1,0.0,32,320,0.2,1.0,12.8,20.0,25.0
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,none,0.04,2,0.25,32,320,0.2,1.0,25.85,9.90328820116054,25.0
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,hamming74,0.25,1,0.0,32,543,0.5285451197053407,1.696875,135.75,1.8858195211786373,4.0
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,hamming74,0.25,2,0.25,32,543,0.5285451197053407,1.696875,271.75,0.9420423183072677,4.0
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,hamming74,0.12,1,0.0,32,543,0.5285451197053407,1.696875,65.16,3.928790669122161,8.333333333333334
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,hamming74,0.12,2,0.25,32,543,0.5285451197053407,1.696875,130.57,1.9606341426054992,8.333333333333334
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,hamming74,0.07,1,0.0,32,543,0.5285451197053407,1.696875,38.010000000000005,6.735069718495132,14.285714285714285
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,hamming74,0.07,2,0.25,32,543,0.5285451197053407,1.696875,76.27000000000001,3.356496656614658,14.285714285714285
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,hamming74,0.04,1,0.0,32,543,0.5285451197053407,1.696875,21.72,11.786372007366483,25.0
maxish,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,hamming74,0.04,2,0.25,32,543,0.5285451197053407,1.696875,43.69,5.8594644083314265,25.0
